id_asset,exchange,shortname,quoteType,symbol,index,score,typeDisp,longname
FR0000051807,PAR,TELEPERFORMANCE,EQUITY,TEP.PA,quotes,20037.0,Equity,Teleperformance SE
FR0000054900,PAR,TF1,EQUITY,TFI.PA,quotes,20023.0,Equity,Télévision Française 1 Société anonyme
FR0000121329,PAR,THALES,EQUITY,HO.PA,quotes,20091.0,Equity,Thales S.A.
FR0000120271,PAR,TOTAL,EQUITY,FP.PA,quotes,20465.0,Equity,TOTAL SE
FR0000054470,PAR,UBISOFT ENTERTAIN,EQUITY,UBI.PA,quotes,20023.0,Equity,Ubisoft Entertainment SA
FR0013176526,PAR,VALEO,EQUITY,FR.PA,quotes,20023.0,Equity,Valeo SA
FR0000124141,PAR,VEOLIA ENVIRON.,EQUITY,VIE.PA,quotes,20079.0,Equity,Veolia Environnement S.A.
FR0000125486,PAR,VINCI,EQUITY,DG.PA,quotes,20203.0,Equity,VINCI SA
FR0000127771,PAR,VIVENDI,EQUITY,VIV.PA,quotes,20043.0,Equity,Vivendi SA
FR0013357621,PAR,WAVESTONE,EQUITY,WAVE.PA,quotes,20004.0,Equity,Wavestone SA
FR0011981968,PAR,WORLDLINE,EQUITY,WLN.PA,quotes,20071.0,Equity,Worldline S.A.
