id_asset,exchange,shortname,quoteType,symbol,index,score,typeDisp,longname
FR0000064446,PAR,CATERING INTL SCES,EQUITY,CTRG.PA,quotes,20001.0,Equity,Catering International & Services Société Anonyme
FR0000064784,PAR,FFP,EQUITY,FFP.PA,quotes,20008.0,Equity,FFP Société anonyme
FR0000065484,PAR,LECTRA,EQUITY,LSS.PA,quotes,20004.0,Equity,Lectra SA
FR0000066672,PAR,GL EVENTS,EQUITY,GLO.PA,quotes,20008.0,Equity,GL Events SA
FR0000066755,PAR,HAULOTTE GROUP,EQUITY,PIG.PA,quotes,20001.0,Equity,Haulotte Group SA
FR0000071946,PAR,ALTEN,EQUITY,ATE.PA,quotes,20027.0,Equity,Alten S.A.
FR0000072399,PAR,BELIER,EQUITY,BELI.PA,quotes,20001.0,Equity,Le BÃ©lier SA
FR0000073041,PAR,PIERRE VACANCES,EQUITY,VAC.PA,quotes,20001.0,Equity,Pierre et Vacances SA
FR0000073272,PAR,SAFRAN,EQUITY,SAF.PA,quotes,20091.0,Equity,Safran SA
FR0000073298,PAR,IPSOS,EQUITY,IPS.PA,quotes,20016.0,Equity,Ipsos SA
FR0000074072,PAR,BIGBEN INTERACTIVE,EQUITY,BIG.PA,quotes,20004.0,Equity,BigBen Interactive
FR0000074148,PAR,ASSYSTEM,EQUITY,ASY.PA,quotes,20002.0,Equity,Assystem S.A.
FR0000074783,PAR,ARTMARKET COM,EQUITY,PRC.PA,quotes,20001.0,Equity,Artprice.com
FR0000075442,PAR,GROUPE LDLC,EQUITY,ALLDL.PA,quotes,20004.0,Equity,Groupe LDLC société anonyme
FR0000076655,PAR,ACTIA GROUP,EQUITY,ATI.PA,quotes,20012.0,Equity,ACTIA Group S.A.
FR0000077919,PAR,JC DECAUX SA.,EQUITY,DEC.PA,quotes,20016.0,Equity,JCDecaux SA
FR0000079634,PAR,GECI INTL,EQUITY,GECP.PA,quotes,20015.0,Equity,GECI International S.A.
FR0000120073,PAR,AIR LIQUIDE,EQUITY,AI.PA,quotes,20169.0,Equity,L'Air Liquide S.A.
FR0000120107,PAR,SAVENCIA,EQUITY,SAVE.PA,quotes,20001.0,Equity,Savencia SA
FR0000120172,PAR,CARREFOUR,EQUITY,CA.PA,quotes,20077.0,Equity,Carrefour SA
FR0000120222,PAR,CNP ASSURANCES,EQUITY,CNP.PA,quotes,20008.0,Equity,CNP Assurances SA
FR0000120271,PAR,TOTAL,EQUITY,FP.PA,quotes,20465.0,Equity,TOTAL SE
FR0000120321,PAR,L'OREAL,EQUITY,OR.PA,quotes,20301.0,Equity,L'Oréal S.A.
FR0000120354,PAR,VALLOUREC,EQUITY,VK.PA,quotes,20043.0,Equity,Vallourec S.A.
FR0000120404,PAR,ACCOR,EQUITY,AC.PA,quotes,20053.0,Equity,Accor SA
FR0000120503,PAR,BOUYGUES,EQUITY,EN.PA,quotes,20084.0,Equity,Bouygues SA
FR0000120560,PAR,QUADIENT,EQUITY,QDT.PA,quotes,20015.0,Equity,Quadient S.A.
FR0000120578,PAR,SANOFI,EQUITY,SAN.PA,quotes,20273.0,Equity,Sanofi
FR0000120628,PAR,AXA,EQUITY,CS.PA,quotes,20091.0,Equity,AXA SA
FR0000120644,PAR,DANONE,EQUITY,BN.PA,quotes,20234.0,Equity,Danone S.A.
FR0000120669,PAR,ESSO,EQUITY,ES.PA,quotes,20009.0,Equity,Esso S.A.F.
FR0000120685,PAR,NATIXIS,EQUITY,KN.PA,quotes,20102.0,Equity,Natixis S.A.
FR0000120693,PAR,PERNOD RICARD,EQUITY,RI.PA,quotes,20071.0,Equity,Pernod Ricard SA
FR0000120859,PAR,IMERYS,EQUITY,NK.PA,quotes,20006.0,Equity,Imerys S.A.
FR0000120966,PAR,BIC,EQUITY,BB.PA,quotes,20035.0,Equity,Société BIC SA
FR0000121014,PAR,LVMH,EQUITY,MC.PA,quotes,20203.0,Equity,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne"
FR0000121121,PAR,EURAZEO,EQUITY,RF.PA,quotes,20005.0,Equity,Eurazeo SE
FR0000121147,PAR,FAURECIA,EQUITY,EO.PA,quotes,20009.0,Equity,Faurecia S.E.
FR0000121204,PAR,WENDEL,EQUITY,MF.PA,quotes,20001.0,Equity,Wendel
FR0000121220,PAR,SODEXO,EQUITY,SW.PA,quotes,20051.0,Equity,Sodexo S.A.
FR0000121261,PAR,MICHELIN,EQUITY,ML.PA,quotes,20055.0,Equity,Compagnie Generale des Etablissements Michelin Societe en commandite par actions
FR0000121329,PAR,THALES,EQUITY,HO.PA,quotes,20091.0,Equity,Thales S.A.
FR0000121485,PAR,KERING,EQUITY,KER.PA,quotes,20158.0,Equity,Kering SA
FR0000121501,PAR,PEUGEOT,EQUITY,UG.PA,quotes,20161.0,Equity,Peugeot S.A.
FR0000121634,PAR,COLAS,EQUITY,RE.PA,quotes,20009.0,Equity,Colas SA
FR0000121667,PAR,ESSILORLUXOTTICA,EQUITY,EL.PA,quotes,20025.0,Equity,EssilorLuxottica Société anonyme
FR0000121709,PAR,S.E.B.,EQUITY,SK.PA,quotes,20023.0,Equity,SEB SA
FR0000121725,PAR,DASSAULT AVIATION,EQUITY,AM.PA,quotes,20038.0,Equity,Dassault Aviation SA
FR0000121972,PAR,SCHNEIDER ELECTRIC,EQUITY,SU.PA,quotes,20062.0,Equity,Schneider Electric S.E.
FR0000124141,PAR,VEOLIA ENVIRON.,EQUITY,VIE.PA,quotes,20079.0,Equity,Veolia Environnement S.A.
FR0000124570,PAR,PLASTIC OMNIUM,EQUITY,POM.PA,quotes,20013.0,Equity,Compagnie Plastic Omnium SA
FR0000125007,PAR,SAINT GOBAIN,EQUITY,SGO.PA,quotes,20044.0,Equity,Compagnie de Saint-Gobain S.A.
FR0000125338,PAR,CAPGEMINI,EQUITY,CAP.PA,quotes,20043.0,Equity,Capgemini SE
FR0000125346,PAR,INGENICO GROUP,EQUITY,ING.PA,quotes,20023.0,Equity,Ingenico Group - GCS
FR0000125486,PAR,VINCI,EQUITY,DG.PA,quotes,20203.0,Equity,VINCI SA
FR0000125585,PAR,CASINO GUICHARD,EQUITY,CO.PA,quotes,20038.0,Equity,"Casino, Guichard-Perrachon Société Anonyme"
FR0000127771,PAR,VIVENDI,EQUITY,VIV.PA,quotes,20043.0,Equity,Vivendi SA
FR0000130213,PAR,LAGARDERE S.C.A.,EQUITY,MMB.PA,quotes,20008.0,Equity,LagardÃ¨re SCA
FR0000130395,PAR,REMY COINTREAU,EQUITY,RCO.PA,quotes,20002.0,Equity,RÃ©my Cointreau SA
FR0000130403,PAR,CHRISTIAN DIOR,EQUITY,CDI.PA,quotes,20011.0,Equity,Christian Dior SE
FR0000130452,PAR,EIFFAGE,EQUITY,FGR.PA,quotes,20031.0,Equity,Eiffage SA
FR0000130577,PAR,PUBLICIS GROUPE SA,EQUITY,PUB.PA,quotes,20020.0,Equity,Publicis Groupe S.A.
FR0000130650,PAR,DASSAULT SYSTEMES,EQUITY,DSY.PA,quotes,20072.0,Equity,Dassault SystÃ¨mes SE
FR0000130692,PAR,CHARGEURS,EQUITY,CRI.PA,quotes,20008.0,Equity,Chargeurs SA
FR0000130809,PAR,SOCIETE GENERALE,EQUITY,GLE.PA,quotes,20186.0,Equity,Société Générale Société anonyme
FR0000131104,PAR,BNP PARIBAS ACT.A,EQUITY,BNP.PA,quotes,20184.0,Equity,BNP Paribas SA
FR0000131757,PAR,ERAMET,EQUITY,ERA.PA,quotes,20057.0,Equity,ERAMET S.A.
FR0000131906,PAR,RENAULT,EQUITY,RNO.PA,quotes,20182.0,Equity,Renault SA
FR0000133308,PAR,ORANGE,EQUITY,ORA.PA,quotes,20247.0,Equity,Orange S.A.
FR0000182479,PAR,ARCHOS,EQUITY,JXR.PA,quotes,20004.0,Equity,Archos S.A.
FR0000184798,PAR,ORPEA,EQUITY,ORP.PA,quotes,20032.0,Equity,Orpea SA
FR0004024222,PAR,INTERPARFUMS,EQUITY,ITP.PA,quotes,20013.0,Equity,Interparfums SA
FR0004035913,PAR,ILIAD,EQUITY,ILD.PA,quotes,20020.0,Equity,iliad S.A.
FR0004040608,PAR,ABC ARBITRAGE,EQUITY,ABCA.PA,quotes,20013.0,Equity,ABC arbitrage SA
FR0004056851,PAR,VALNEVA,EQUITY,VLA.PA,quotes,20026.0,Equity,Valneva SE
FR0004159473,PAR,HEXAOM,EQUITY,HEXA.PA,quotes,20001.0,Equity,Hexaom S.A.
FR0004163111,PAR,GENFIT,EQUITY,GNFT.PA,quotes,20025.0,Equity,Genfit SA
FR0004170017,PAR,LNA SANTE,EQUITY,LNA.PA,quotes,20004.0,Equity,LNA SantÃ© SA
FR0004177046,PAR,METABOLIC EXPLORER,EQUITY,METEX.PA,quotes,20014.0,Equity,METabolic EXplorer S.A.
FR0004180537,PAR,AKKA TECHNOLOGIES,EQUITY,AKA.PA,quotes,20020.0,Equity,AKKA Technologies SE
FR0004180578,PAR,SWORD GROUP,EQUITY,SWP.PA,quotes,20003.0,Equity,Sword Group S.E.
FR0004527638,PAR,EXEL INDUSTRIES,EQUITY,EXE.PA,quotes,20003.0,Equity,Exel Industries Société Anonyme
FR0005175080,PAR,TRANSGENE,EQUITY,TNG.PA,quotes,20005.0,Equity,Transgene SA
FR0005691656,PAR,TRIGANO,EQUITY,TRI.PA,quotes,20059.0,Equity,Trigano S.A.
FR0006174348,PAR,BUREAU VERITAS,EQUITY,BVI.PA,quotes,20051.0,Equity,Bureau Veritas SA
FR0006864484,PAR,LAURENT-PERRIER,EQUITY,LPE.PA,quotes,20001.0,Equity,Laurent-Perrier S.A.
FR0010095596,PAR,ONXEO,EQUITY,ONXEO.PA,quotes,20041.0,Equity,Onxeo SA
FR0010112524,PAR,NEXITY,EQUITY,NXI.PA,quotes,20031.0,Equity,Nexity SA
FR0010208488,PAR,ENGIE,EQUITY,ENGI.PA,quotes,20074.0,Equity,ENGIE SA
FR0010220475,PAR,ALSTOM,EQUITY,ALO.PA,quotes,20075.0,Equity,Alstom SA
FR0010221234,PAR,EUTELSAT COMMUNIC.,EQUITY,ETL.PA,quotes,20087.0,Equity,Eutelsat Communications S.A.
FR0010242511,PAR,EDF,EQUITY,EDF.PA,quotes,20064.0,Equity,Electricité de France S.A.
FR0010259150,PAR,IPSEN,EQUITY,IPN.PA,quotes,20018.0,Equity,Ipsen S.A.
FR0010282822,PAR,SES IMAGOTAG,EQUITY,SESL.PA,quotes,20007.0,Equity,SES-imagotag Société Anonyme
FR0010291245,PAR,VERIMATRIX,EQUITY,VMX.PA,quotes,20023.0,Equity,Verimatrix Société anonyme
FR0010307819,PAR,LEGRAND,EQUITY,LR.PA,quotes,20033.0,Equity,Legrand SA
FR0010313833,PAR,ARKEMA,EQUITY,AKE.PA,quotes,20032.0,Equity,Arkema S.A.
FR0010331421,PAR,INNATE PHARMA,EQUITY,IPH.PA,quotes,20061.0,Equity,Innate Pharma S.A.
FR0010340141,PAR,ADP,EQUITY,ADP.PA,quotes,20086.0,Equity,Aeroports de Paris SA
FR0010380626,PAR,PROLOGUE,EQUITY,PROL.PA,quotes,20005.0,Equity,Prologue S.A.
FR0010386334,PAR,KORIAN,EQUITY,KORI.PA,quotes,20048.0,Equity,Korian
FR0010411983,PAR,SCOR SE,EQUITY,SCR.PA,quotes,20014.0,Equity,SCOR SE
FR0010417345,PAR,DBV TECHNOLOGIES,EQUITY,DBV.PA,quotes,20019.0,Equity,DBV Technologies S.A.
FR0010451203,PAR,REXEL,EQUITY,RXL.PA,quotes,20005.0,Equity,Rexel S.A.
FR0010478248,PAR,ATARI,EQUITY,ATA.PA,quotes,20095.0,Equity,Atari SA
FR0010481960,PAR,ARGAN,EQUITY,ARG.PA,quotes,20026.0,Equity,Argan SA
FR0010490920,PAR,EUROPACORP,EQUITY,ECP.PA,quotes,20001.0,Equity,EuropaCorp
FR0010533075,PAR,GETLINK SE,EQUITY,GET.PA,quotes,20012.0,Equity,Getlink SE
FR0010557264,PAR,AB SCIENCE,EQUITY,AB.PA,quotes,20002.0,Equity,AB Science S.A.
FR0010609263,PAR,MAUNA KEA TECH,EQUITY,MKEA.PA,quotes,20001.0,Equity,Mauna Kea Technologies SA
FR0010613471,PAR,SUEZ,EQUITY,SEV.PA,quotes,20024.0,Equity,Suez SA
FR0010667147,PAR,COFACE,EQUITY,COFA.PA,quotes,20038.0,Equity,COFACE SA
FR0010908533,PAR,EDENRED,EQUITY,EDEN.PA,quotes,20003.0,Equity,Edenred SA
FR0010918292,PAR,TECHNICOLOR,EQUITY,TCH.PA,quotes,20029.0,Equity,Technicolor SA
FR0010929125,PAR,ID LOGISTICS GROUP,EQUITY,IDL.PA,quotes,20003.0,Equity,ID Logistics Group SA
FR0011040500,PAR,AXWAY SOFTWARE,EQUITY,AXW.PA,quotes,20019.0,Equity,Axway Software SA
FR0011184241,PAR,ADOCIA,EQUITY,ADOC.PA,quotes,20001.0,Equity,Adocia SA
FR0011191766,PAR,EOS IMAGING,EQUITY,EOSI.PA,quotes,20006.0,Equity,EOS imaging SA
FR0011289040,PAR,SQLI,EQUITY,SQI.PA,quotes,20004.0,Equity,SQLI SA
FR0011341205,PAR,NANOBIOTIX,EQUITY,NANO.PA,quotes,20020.0,Equity,Nanobiotix S.A.
FR0011466069,PAR,EKINOPS,EQUITY,EKI.PA,quotes,20008.0,Equity,EKINOPS S.A.
FR0011471135,PAR,ERYTECH PHARMA,EQUITY,ERYP.PA,quotes,20013.0,Equity,ERYTECH Pharma S.A.
FR0011476928,PAR,FNAC DARTY,EQUITY,FNAC.PA,quotes,20013.0,Equity,Fnac Darty SA
FR0011592104,PAR,BNPP ESG BLUE ETF,ETF,BLUE.PA,quotes,20003.0,ETF,BNP Paribas Easy - ECPI Global ESG Blue Economy
FR0011726835,PAR,GTT,EQUITY,GTT.PA,quotes,20019.0,Equity,Gaztransport & Technigaz SA
FR0011950732,PAR,ELIOR GROUP,EQUITY,ELIOR.PA,quotes,20011.0,Equity,Elior Group S.A.
FR0011981968,PAR,WORLDLINE,EQUITY,WLN.PA,quotes,20071.0,Equity,Worldline S.A.
FR0012202497,PAR,DIAGNOSTIC MEDICAL,EQUITY,DGM.PA,quotes,20006.0,Equity,Diagnostic Medical Systems S.A.
FR0012757854,PAR,SPIE,EQUITY,SPIE.PA,quotes,20023.0,Equity,SPIE SA
FR0012789949,PAR,EUROPCAR MOBILITY,EQUITY,EUCAR.PA,quotes,20077.0,Equity,Europcar Mobility Group S.A.
FR0012882389,PAR,PHARMAGEST INTER.,EQUITY,PHA.PA,quotes,20010.0,Equity,Pharmagest Interactive SA
FR0012938884,PAR,SOLOCAL GROUP,EQUITY,LOCAL.PA,quotes,20085.0,Equity,Solocal Group S.A.
FR0013018124,PAR,NICOX,EQUITY,COX.PA,quotes,20012.0,Equity,Nicox S.A.
FR0013154002,PAR,SARTORIUS STED BIO,EQUITY,DIM.PA,quotes,20055.0,Equity,Sartorius Stedim Biotech S.A.
FR0013176526,PAR,VALEO,EQUITY,FR.PA,quotes,20023.0,Equity,Valeo SA
FR0013181864,PAR,CGG,EQUITY,CGG.PA,quotes,20042.0,Equity,CGG
FR0013227113,PAR,SOITEC,EQUITY,SOI.PA,quotes,20043.0,Equity,Soitec S.A.
FR0013252186,PAR,PLAST.VAL LOIRE,EQUITY,PVL.PA,quotes,20014.0,Equity,Plastiques du Val de Loire
FR0013258662,PAR,ALD,EQUITY,ALD.PA,quotes,20008.0,Equity,ALD S.A.
FR0013269123,PAR,RUBIS,EQUITY,RUI.PA,quotes,20135.0,Equity,Rubis
FR0013280286,PAR,BIOMERIEUX,EQUITY,BIM.PA,quotes,20042.0,Equity,bioMÃ©rieux S.A.
FR0013295789,PAR,TFF GROUP,EQUITY,TFF.PA,quotes,20001.0,Equity,TFF Group
FR0013357621,PAR,WAVESTONE,EQUITY,WAVE.PA,quotes,20004.0,Equity,Wavestone SA
FR0013426004,PAR,CLARANOVA,EQUITY,CLA.PA,quotes,20015.0,Equity,Claranova SE
FR0013451333,PAR,FDJ,EQUITY,FDJ.PA,quotes,20089.0,Equity,La Française des Jeux Société anonyme
NL0000226223,PAR,STMICROELECTRONICS,EQUITY,STM.PA,quotes,20050.0,Equity,STMicroelectronics N.V.
NL0000235190,PAR,AIRBUS,EQUITY,AIR.PA,quotes,20256.0,Equity,Airbus SE
NL0006294274,PAR,EURONEXT,EQUITY,ENX.PA,quotes,20021.0,Equity,Euronext N.V.
